		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  241  212  247  264  252  227  207  234 13.901046 0.084381 SUCCESS  76
100101000  268  218  241  244  225  233  254  268 10.250095 0.247909 SUCCESS  77
100110000  252  259  257  272  226  252  276  225 12.703128 0.122480 SUCCESS  78
100111000  218  226  244  239  261  253  232  230  7.403052 0.493835 SUCCESS  79
101000000  242  250  247  223  224  233  249  248  4.495637 0.809869 SUCCESS  80
101000100  256  251  233  230  239  229  218  254  6.552541 0.585586 SUCCESS  81
101001000  223  224  241  253  236  256  232  256  6.079093 0.638373 SUCCESS  82
101001100  252  230  234  242  240  267  222  254  6.337530 0.609480 SUCCESS  83
101010000  248  259  241  231  243  222  261  244  5.058055 0.751353 SUCCESS  84
101010100  258  227  253  245  252  251  233  264  5.055937 0.751581 SUCCESS  85
101011000  261  232  245  252  238  238  257  229  4.084680 0.849404 SUCCESS  86
101011100  259  264  238  239  249  252  272  244  6.536653 0.587345 SUCCESS  87
101100000  245  249  230  237  254  243  269  237  4.419377 0.817444 SUCCESS  88
101100100  229  239  264  250  253  271  271  250  9.500204 0.301870 SUCCESS  89
101101000  249  259  261  263  243  221  243  273  9.562695 0.297069 SUCCESS  90
101101100  241  238  236  252  266  256  248  236  3.710794 0.882229 SUCCESS  91
101110000  231  267  203  247  240  240  250  245 10.440745 0.235443 SUCCESS  92
101110100  221  223  237  253  233  270  250  264  9.885742 0.273137 SUCCESS  93
101111000  245  236  239  264  232  240  249  286 10.292462 0.245096 SUCCESS  94
101111100  218  265  235  219  234  252  245  259  9.402761 0.309466 SUCCESS  95
110000000  269  268  243  228  236  243  251  226  8.020547 0.431466 SUCCESS  96
110000010  251  254  249  253  248  227  248  254  2.830626 0.944533 SUCCESS  97
110000100  240  263  234  254  243  270  256  252  6.130992 0.632561 SUCCESS  98
110001000  240  247  237  221  234  266  260  246  6.132051 0.632443 SUCCESS  99
110001010  211  252  222  255  235  226  257  237 10.148415 0.254763 SUCCESS 100
110010000  224  240  243  250  284  218  244  233 12.091988 0.147147 SUCCESS 101
110010010  234  203  253  225  227  246  237  238 11.114376 0.195302 SUCCESS 102
110010100  270  221  260  258  257  228  246  277 13.383113 0.099330 SUCCESS 103
110011000  233  256  275  242  233  269  261  224 11.247831 0.188048 SUCCESS 104
110011010  256  248  258  253  278  249  250  244  6.919013 0.545395 SUCCESS 105
110100000  218  259  247  241  232  243  236  239  4.924600 0.765604 SUCCESS 106
110100010  258  271  240  240  255  234  200  224 14.919965 0.060720 SUCCESS 107
110100100  232  223  238  269  222  250  251  286 15.143450 0.056415 SUCCESS 108
110101000  220  244  240  227  244  242  284  247 10.571023 0.227210 SUCCESS 109
110101010  274  222  237  238  252  245  233  268  9.434536 0.306974 SUCCESS 110
110101100  273  240  257  248  260  245  251  231  6.371423 0.605702 SUCCESS 111
110110000  232  258  227  242  254  256  253  257  4.746660 0.784278 SUCCESS 112
110110010  257  247  283  274  244  217  239  254 14.563026 0.068220 SUCCESS 113
110110100  246  247  275  269  239  230  237  266  9.909043 0.271468 SUCCESS 114
110111000  242  245  221  218  271  248  249  240  8.475989 0.388406 SUCCESS 115
110111010  226  224  220  256  247  264  240  256  8.549072 0.381750 SUCCESS 116
110111100  256  248  239  232  247  236  230  263  4.064556 0.851253 SUCCESS 117
111000000  279  267  235  234  242  258  234  234  9.860321 0.274967 SUCCESS 118
111000010  259  280  221  248  258  257  251  256 11.034938 0.199727 SUCCESS 119
111000100  263  220  236  214  234  257  268  244 11.651374 0.167450 SUCCESS 120
111000110  227  208  253  198  271  249  258  215 23.688815 0.002584 FAILURE 121
111001000  225  273  255  261  272  227  242  232 11.965947 0.152730 SUCCESS 122
111001010  241  245  244  238  257  234  263  260  3.917332 0.864504 SUCCESS 123
111001100  257  253  245  248  231  251  240  207  7.944287 0.438931 SUCCESS 124
111010000  208  249  246  254  244  236  262  231  8.420913 0.393470 SUCCESS 125
111010010  248  233  247  262  230  251  231  280  9.204697 0.325324 SUCCESS 126
111010100  275  230  224  228  221  248  225  242 11.599475 0.169989 SUCCESS 127
111010110  245  225  235  258  246  246  229  251  3.920509 0.864223 SUCCESS 128
111011000  231  243  251  262  224  247  249  242  4.159881 0.842418 SUCCESS 129
111011010  258  235  280  241  244  254  234  274 11.291257 0.185736 SUCCESS 130
111011100  249  237  255  226  248  235  238  246  2.798851 0.946340 SUCCESS 131
111100000  274  234  251  227  262  250  245  273 10.693886 0.219654 SUCCESS 132
111100010  240  235  244  252  212  225  243  262  7.968648 0.436539 SUCCESS 133
111100100  239  248  234  252  263  227  245  237  3.842131 0.871079 SUCCESS 134
111100110  277  266  257  241  240  232  237  231  8.989686 0.343167 SUCCESS 135
111101000  229  273  252  238  234  246  236  258  6.467807 0.594981 SUCCESS 136
111101010  289  235  239  230  224  237  227  252 13.277196 0.102661 SUCCESS 137
111101100  256  244  264  271  237  235  269  223 10.411089 0.237350 SUCCESS 138
111101110  254  232  256  249  257  229  225  242  4.974381 0.760311 SUCCESS 139
111110000  250  254  252  234  247  249  237  254  2.020362 0.980381 SUCCESS 140
111110010  240  250  233  248  260  260  256  243  3.544505 0.895708 SUCCESS 141
111110100  244  276  220  265  210  256  238  259 15.244071 0.054570 SUCCESS 142
111110110  261  251  270  253  241  243  236  228  6.004951 0.646677 SUCCESS 143
111111000  259  247  270  241  252  234  222  244  6.621387 0.577977 SUCCESS 144
111111010  236  271  241  267  220  251  244  280 13.716751 0.089454 SUCCESS 145
111111100  266  262  304  219  262  240  226  241 24.102949 0.002202 FAILURE 146
111111110  261  237  280  226  244  250  236  247  8.727012 0.365846 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.125000	M = 125000	N = 8	m = 9	n = 1000000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  232  258  254  250  234  260  256  237  4.312401 0.827895 SUCCESS   0
000000011  238  262  259  244  246  271  254  232  6.561014 0.584648 SUCCESS   1
000000101  246  251  228  233  241  227  250  262  4.624856 0.796816 SUCCESS   2
000000111  233  236  247  211  247  270  231  224 10.805099 0.212989 SUCCESS   3
000001001  285  243  229  251  243  262  267  248 11.892864 0.156048 SUCCESS   4
000001011  250  250  232  247  258  235  239  265  4.076207 0.850183 SUCCESS   5
000001101  241  267  259  246  235  231  266  243  6.325879 0.610779 SUCCESS   6
000001111  230  234  222  238  249  251  230  238  4.817624 0.776879 SUCCESS   7
000010001  238  240  261  263  225  214  269  226 12.354661 0.136067 SUCCESS   8
000010011  252  234  236  264  245  259  280  249  9.144324 0.330268 SUCCESS   9
000010101  244  216  218  264  253  261  247  255  9.992717 0.265537 SUCCESS  10
000010111  257  262  263  274  254  257  240  265 10.380373 0.239337 SUCCESS  11
000011001  259  247  240  237  254  259  258  233  3.950166 0.861591 SUCCESS  12
000011011  225  252  250  243  230  237  233  257  4.250969 0.833800 SUCCESS  13
000011101  230  252  248  227  234  258  239  266  5.802650 0.669327 SUCCESS  14
000011111  226  240  242  258  262  225  216  232  9.176099 0.327659 SUCCESS  15
000100011  246  249  273  257  238  223  252  229  7.631833 0.470234 SUCCESS  16
000100101  254  221  244  251  222  234  244  241  5.428764 0.710919 SUCCESS  17
000100111  251  230  249  256  242  260  248  250  3.040341 0.931800 SUCCESS  18
000101001  242  235  219  267  283  284  223  254 20.706198 0.007970 FAILURE  19
000101011  259  229  222  265  236  243  235  243  6.469926 0.594745 SUCCESS  20
000101101  239  249  248  228  254  239  272  261  6.400021 0.602517 SUCCESS  21
000101111  227  259  259  286  266  243  259  246 13.531397 0.094827 SUCCESS  22
000110011  271  254  236  248  234  254  251  227  6.106631 0.635289 SUCCESS  23
000110101  248  257  259  261  244  257  279  237  8.980153 0.343973 SUCCESS  24
000110111  225  249  241  251  231  242  238  250  2.946075 0.937696 SUCCESS  25
000111001  236  260  245  244  273  246  219  240  7.644543 0.468939 SUCCESS  26
000111011  214  241  257  232  232  247  254  256  6.879824 0.549653 SUCCESS  27
000111101  256  233  244  241  224  252  257  233  4.368537 0.822437 SUCCESS  28
000111111  231  243  220  237  268  225  218  203 17.437607 0.025862 SUCCESS  29
001000011  227  241  235  240  240  250  222  250  4.147171 0.843607 SUCCESS  30
001000101  230  249  259  233  253  236  258  253  4.170473 0.841424 SUCCESS  31
001000111  236  220  252  243  261  229  241  220  7.696442 0.463670 SUCCESS  32
001001011  280  238  241  250  255  228  256  241  8.040671 0.429507 SUCCESS  33
001001101  248  233  238  261  263  236  286  263 12.680885 0.123311 SUCCESS  34
001001111  251  247  251  243  236  258  230  252  2.644212 0.954667 SUCCESS  35
001010011  263  220  251  257  263  281  247  246 12.197905 0.142590 SUCCESS  36
001010101  254  236  214  235  249  246  227  214 10.093338 0.258536 SUCCESS  37
001010111  231  226  226  242  236  250  221  250  6.370364 0.605820 SUCCESS  38
001011011  264  224  258  235  237  219  256  258  8.860467 0.354203 SUCCESS  39
001011101  214  242  258  240  255  243  214  243  9.108312 0.333241 SUCCESS  40
001011111  240  254  241  265  273  266  263  251  9.642133 0.291047 SUCCESS  41
001100101  227  260  269  223  265  217  232  214 16.253458 0.038893 SUCCESS  42
001100111  259  245  242  265  239  244  233  249  3.542386 0.895875 SUCCESS  43
001101011  237  240  243  278  242  254  249  241  5.728508 0.677613 SUCCESS  44
001101101  237  244  248  233  220  246  277  246  7.877560 0.445521 SUCCESS  45
001101111  237  244  251  223  252  275  251  257  7.510028 0.482731 SUCCESS  46
001110101  252  259  238  232  250  261  222  256  6.006010 0.646559 SUCCESS  47
001110111  243  217  244  260  253  249  254  240  5.109954 0.745762 SUCCESS  48
001111011  260  246  251  247  219  260  225  233  7.134024 0.522244 SUCCESS  49
001111101  243  233  247  228  248  236  236  209  7.516383 0.482076 SUCCESS  50
001111111  240  252  247  239  264  228  229  215  7.819305 0.451317 SUCCESS  51
010000011  233  254  234  240  225  255  260  251  4.762547 0.782628 SUCCESS  52
010000111  232  269  243  271  252  233  232  242  7.738809 0.459391 SUCCESS  53
010001011  207  255  254  250  241  240  233  262  8.891183 0.351559 SUCCESS  54
010001111  250  215  252  239  269  238  228  221 10.261746 0.247133 SUCCESS  55
010010011  244  238  241  248  243  248  223  247  2.258675 0.972037 SUCCESS  56
010010111  249  234  255  221  263  244  250  230  5.802650 0.669327 SUCCESS  57
010011011  238  230  228  239  253  227  261  243  5.005097 0.757031 SUCCESS  58
010011111  237  264  257  250  266  226  220  260  9.689795 0.287477 SUCCESS  59
010100011  238  252  262  231  228  264  228  240  6.454038 0.596510 SUCCESS  60
010100111  262  241  239  257  267  239  225  236  6.366127 0.606292 SUCCESS  61
010101011  240  244  235  251  257  244  237  221  3.808237 0.873997 SUCCESS  62
010101111  247  245  213  267  245  257  256  251  7.862731 0.446993 SUCCESS  63
010110011  270  234  241  272  231  257  260  277 13.682858 0.090415 SUCCESS  64
010110111  253  250  254  224  254  227  247  249  4.400312 0.819322 SUCCESS  65
010111011  226  241  236  242  231  223  206  236 10.790271 0.213868 SUCCESS  66
010111111  237  244  261  241  267  245  258  256  5.096185 0.747248 SUCCESS  67
011000111  248  248  226  231  232  246  242  229  3.874965 0.868225 SUCCESS  68
011001111  283  246  251  262  226  236  243  244  9.648488 0.290569 SUCCESS  69
011010111  238  230  265  270  242  241  249  249  5.948815 0.652965 SUCCESS  70
011011111  246  238  251  224  210  269  243  257 10.352834 0.241129 SUCCESS  71
011101111  215  248  260  254  252  224  251  236  7.596880 0.473804 SUCCESS  72
011111111  241  249  239  241  249  256  238  231  1.881611 0.984429 SUCCESS  73
100000000  232  258  254  250  234  260  256  237  4.312401 0.827895 SUCCESS  74
100010000  231  215  205  247  253  233  247  250 11.883332 0.156486 SUCCESS  75
100100000  247  250  249  241  212  257  254  261  7.017515 0.534744 SUCCESS  76
100101000  230  248  243  227  262  268  239  248  6.100276 0.636000 SUCCESS  77
